E001;P001;2026-01-08;10:30;150000.0
E002;P002;2026-01-20;14:00;40000.0
E003;P003;2026-01-25;09:15;200000.0
E004;P005;2026-02-08;11:45;150000.0
E005;P006;2026-02-12;16:00;60000.0
E006;P008;2026-02-28;13:00;25000.0
E007;P009;2026-03-05;15:30;180000.0
E008;P010;2026-03-12;10:00;5000.0
E009;P011;2026-03-18;14:30;90000.0
E010;P012;2026-03-25;09:00;55000.0
E011;P013;2026-03-30;11:00;250000.0
E012;P015;2026-04-12;16:30;130000.0
E013;P016;2026-04-18;08:00;42000.0
E014;P018;2026-04-27;10:30;45000.0
E015;P019;2026-05-04;14:00;160000.0
E016;P021;2026-05-12;09:15;105000.0
E017;P022;2026-05-16;11:45;75000.0
E018;P024;2026-05-21;16:00;88000.0
E019;P025;2026-05-23;13:30;95000.0
E020;P026;2026-05-23;15:00;65000.0
E021;P028;2026-05-25;10:00;60000.0
E022;P002;2026-05-01;12:30;20000.0
E023;P002;2026-05-01;16:30;20000.0
E024;p005;2026-05-02;11:30;30000.0
E025;P004;2026-05-16;20:30;20000.0
E026;P004;2026-05-29;17:00;20000.0
E027;P004;2026-05-29;04:30;20000.0
E028;P004;2026-05-29;05:00;20000.0
