Pe001;2026-01-05;150000.0;150000.0;Recibido;P001
Pe002;2026-01-15;40000.0;80000.0;Incompleto;P002
Pe003;2026-01-22;200000.0;200000.0;Recibido;P003
Pe004;2026-01-28;0.0;95000.0;Pendiente;P004
Pe005;2026-02-03;150000.0;300000.0;Incompleto;P005
Pe006;2026-02-10;60000.0;60000.0;Recibido;P006
Pe007;2026-02-18;120000.0;120000.0;Cancelado;P007
Pe008;2026-02-25;25000.0;75000.0;Incompleto;P008
Pe009;2026-03-02;180000.0;180000.0;Recibido;P009
Pe010;2026-03-09;5000.0;50000.0;Incompleto;P001
Pe011;2026-03-15;90000.0;90000.0;Recibido;P002
Pe012;2026-03-22;55000.0;110000.0;Incompleto;P003
Pe013;2026-03-28;250000.0;250000.0;Recibido;P004
Pe014;2026-04-04;0.0;70000.0;Pendiente;P005
Pe015;2026-04-10;130000.0;130000.0;Recibido;P006
Pe016;2026-04-15;42000.0;85000.0;Incompleto;P007
Pe017;2026-04-20;0.0;320000.0;Pendiente;P008
Pe018;2026-04-25;45000.0;45000.0;Recibido;P009
Pe019;2026-05-02;160000.0;160000.0;Recibido;P001
Pe020;2026-05-07;0.0;95000.0;Pendiente;P002
Pe021;2026-05-10;105000.0;210000.0;Incompleto;P003
Pe022;2026-05-14;75000.0;75000.0;Recibido;P004
Pe023;2026-05-17;0.0;140000.0;Pendiente;P005
Pe024;2026-05-20;88000.0;88000.0;Recibido;P006
Pe025;2026-05-22;95000.0;190000.0;Incompleto;P007
Pe026;2026-05-23;65000.0;65000.0;Recibido;P008
Pe027;2026-05-24;0.0;300000.0;Pendiente;P009P001
P001;2026-10-10;20000.0;40000.0;Cancelado;P002
P002;2026-05-01;150000.0;300000.0;Incompleto;P009
